,months_as_customer,policy_csl,policy_deductable,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
163,112,500/1000,1000,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,YES,NO,10790,21580,75530,Y
164,122,250/500,500,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,YES,18180,18180,63630,N
165,108,500/1000,1000,FEMALE,PhD,armed-forces,not-in-family,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,YES,11160,5580,44640,N
166,14,250/500,2000,FEMALE,Associate,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,NO,YES,12960,12960,45360,Y
167,298,500/1000,1000,MALE,High School,farming-fishing,unmarried,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,NO,12800,6400,44800,N
168,276,250/500,500,FEMALE,Masters,machine-op-inspct,husband,0,-50000,Parked Car,Rear Collision,Trivial Damage,Police,7,1,NO,NO,660,660,4620,N
169,47,250/500,2000,MALE,High School,other-service,not-in-family,75400,0,Parked Car,Rear Collision,Minor Damage,None,18,1,NO,NO,670,670,5360,N
170,222,250/500,500,MALE,Associate,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,NO,11940,7960,31840,N
171,119,250/500,2000,MALE,High School,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,NO,YES,6700,6700,40200,Y
172,73,250/500,1000,MALE,College,protective-serv,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,NO,4990,4990,34930,N
173,8,250/500,500,FEMALE,MD,transport-moving,wife,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,NO,YES,11100,7400,29600,N
174,294,100/300,1000,FEMALE,PhD,farming-fishing,unmarried,53900,0,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,NO,NO,610,1220,4270,N
175,324,100/300,2000,MALE,MD,tech-support,wife,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,NO,YES,15920,15920,47760,N
176,155,100/300,500,MALE,Masters,protective-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,YES,8560,8560,59920,N
177,261,250/500,1000,FEMALE,PhD,prof-specialty,other-relative,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,NO,11380,11380,39830,N
178,245,500/1000,500,FEMALE,Masters,armed-forces,other-relative,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,NO,13100,13100,58950,N
179,235,100/300,500,MALE,MD,tech-support,wife,0,-31700,Vehicle Theft,Rear Collision,Trivial Damage,None,1,1,NO,NO,450,900,3600,N
180,53,500/1000,2000,MALE,Associate,handlers-cleaners,not-in-family,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,NO,YES,10220,5110,35770,N
181,426,500/1000,2000,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,NO,16800,16800,67200,N
182,111,250/500,500,FEMALE,Masters,tech-support,husband,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,NO,16540,16540,57890,N
183,86,100/300,500,MALE,JD,tech-support,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,NO,YES,14880,7440,59520,Y
184,296,100/300,1000,MALE,Masters,craft-repair,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,NO,NO,5490,5490,43920,N
185,125,500/1000,500,MALE,JD,tech-support,husband,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,NO,8060,16120,64480,Y
186,177,100/300,2000,FEMALE,JD,tech-support,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,NO,2250,2250,13500,N
187,238,250/500,2000,FEMALE,JD,protective-serv,other-relative,0,-39200,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,YES,YES,1100,550,3850,N
188,81,100/300,500,FEMALE,High School,tech-support,own-child,51000,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,NO,NO,13440,6720,53760,Y
189,128,500/1000,1000,FEMALE,High School,adm-clerical,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,YES,18520,18520,64820,N
190,449,250/500,2000,MALE,Associate,tech-support,own-child,25000,0,Parked Car,Rear Collision,Minor Damage,None,8,1,YES,YES,980,980,3430,N
191,252,250/500,1000,MALE,JD,farming-fishing,unmarried,68500,-57500,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,NO,5610,5610,39270,N
192,359,100/300,2000,FEMALE,MD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,NO,5550,11100,38850,N
193,19,500/1000,1000,MALE,High School,other-service,husband,42900,-90200,Vehicle Theft,Rear Collision,Minor Damage,Police,8,1,YES,YES,1280,640,5120,N
194,73,250/500,2000,MALE,MD,farming-fishing,not-in-family,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,NO,YES,5020,0,35140,N
195,285,500/1000,1000,MALE,High School,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,NO,6960,6960,41760,N
196,196,250/500,2000,MALE,MD,armed-forces,own-child,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,3,1,NO,NO,530,530,4240,Y
197,223,250/500,500,FEMALE,MD,adm-clerical,not-in-family,0,0,Parked Car,Rear Collision,Trivial Damage,None,6,1,YES,NO,650,650,3900,N
198,328,250/500,500,MALE,Masters,armed-forces,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,NO,5940,11880,41580,N
199,285,100/300,2000,FEMALE,College,sales,other-relative,47600,0,Vehicle Theft,Rear Collision,Minor Damage,Police,7,1,NO,NO,280,280,1960,N
200,30,250/500,2000,MALE,PhD,craft-repair,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,9,1,NO,YES,960,960,3840,N
201,342,250/500,500,MALE,PhD,transport-moving,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,NO,YES,7670,7670,61360,N
202,219,250/500,2000,FEMALE,High School,protective-serv,unmarried,0,0,Parked Car,Rear Collision,Trivial Damage,Police,6,1,NO,NO,740,740,4440,N
203,468,100/300,500,MALE,PhD,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,NO,7150,7150,50050,N
204,241,250/500,2000,MALE,JD,sales,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,NO,4240,2120,12720,N
205,223,500/1000,500,FEMALE,Masters,tech-support,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,NO,5440,5440,43520,N
206,128,100/300,2000,FEMALE,College,sales,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,NO,NO,5980,5980,47840,Y
207,124,500/1000,500,MALE,Masters,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,NO,YES,7200,7200,57600,N
208,343,250/500,500,MALE,JD,adm-clerical,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,NO,7230,14460,43380,N
209,404,250/500,500,MALE,Associate,sales,not-in-family,25500,-36700,Parked Car,Rear Collision,Trivial Damage,Police,8,1,NO,NO,1760,880,6160,N
210,63,250/500,2000,FEMALE,High School,handlers-cleaners,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,7,1,NO,NO,1020,1020,4080,N
211,210,500/1000,2000,MALE,High School,priv-house-serv,not-in-family,59900,0,Vehicle Theft,Rear Collision,Trivial Damage,None,9,1,NO,NO,1180,590,5310,N
212,335,100/300,1000,MALE,High School,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,YES,8580,4290,21450,N
213,11,500/1000,2000,FEMALE,MD,prof-specialty,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,NO,NO,9720,9720,34020,Y
214,142,100/300,2000,FEMALE,JD,exec-managerial,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,NO,6780,13560,61020,Y
215,272,100/300,1000,MALE,PhD,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,NO,YES,7370,14740,58960,Y
216,69,100/300,2000,FEMALE,High School,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,NO,5260,10520,47340,N
217,38,250/500,1000,MALE,Masters,transport-moving,not-in-family,0,-39700,Vehicle Theft,Rear Collision,Trivial Damage,None,17,1,NO,NO,1440,720,5040,N
218,328,500/1000,500,FEMALE,MD,prof-specialty,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,NO,NO,12780,6390,51120,Y
219,281,100/300,1000,MALE,College,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,NO,9260,9260,41670,N
220,246,250/500,2000,MALE,College,farming-fishing,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,YES,11160,5580,44640,Y
221,298,250/500,500,FEMALE,College,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,NO,2810,5620,19670,N
222,330,500/1000,1000,FEMALE,High School,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,NO,8920,8920,31220,N
223,362,250/500,500,MALE,Associate,sales,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,NO,NO,6340,6340,44380,N
224,241,100/300,2000,FEMALE,Associate,tech-support,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,NO,YES,12980,12980,51920,N
225,245,500/1000,2000,MALE,Masters,exec-managerial,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,YES,7350,14700,51450,N
226,371,250/500,1000,FEMALE,High School,other-service,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,NO,6840,13680,68400,N
227,343,500/1000,1000,FEMALE,Associate,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,NO,NO,12990,4330,30310,Y
228,377,100/300,500,FEMALE,MD,craft-repair,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,NO,6560,6560,45920,N
229,154,250/500,1000,FEMALE,MD,farming-fishing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,NO,NO,14460,7230,57840,N
230,166,100/300,1000,FEMALE,High School,machine-op-inspct,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,YES,4880,4880,43920,N
231,298,500/1000,1000,MALE,JD,prof-specialty,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,YES,3050,6100,24400,N
232,235,250/500,500,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,NO,YES,6910,6910,55280,N
233,172,100/300,2000,MALE,MD,handlers-cleaners,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,NO,NO,14500,14500,50750,N
234,27,100/300,2000,MALE,JD,farming-fishing,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,NO,YES,5360,10720,37520,Y
235,428,100/300,2000,MALE,Masters,transport-moving,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,NO,12760,6380,57420,N
236,99,100/300,1000,MALE,JD,craft-repair,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,NO,4570,4570,31990,N
237,107,500/1000,2000,MALE,MD,sales,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,NO,14300,7150,57200,Y
238,272,500/1000,2000,FEMALE,Associate,farming-fishing,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,NO,NO,6460,12920,51680,N
239,151,500/1000,1000,FEMALE,Masters,farming-fishing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,NO,3530,3530,31770,N
240,249,250/500,1000,FEMALE,MD,armed-forces,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,NO,YES,5350,5350,42800,N
241,177,100/300,2000,FEMALE,College,adm-clerical,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,NO,7370,7370,58960,Y
242,190,500/1000,2000,FEMALE,JD,exec-managerial,other-relative,36900,-53700,Parked Car,Rear Collision,Trivial Damage,None,10,1,NO,YES,630,630,5040,N
243,174,100/300,2000,FEMALE,College,tech-support,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,NO,10900,10900,43600,N
244,95,250/500,1000,MALE,Associate,armed-forces,other-relative,0,-70300,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,YES,NO,640,320,2240,N
245,371,500/1000,1000,FEMALE,Associate,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,YES,7540,15080,52780,Y
246,2,250/500,1000,FEMALE,JD,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,YES,6460,6460,45220,N
247,269,100/300,500,FEMALE,JD,other-service,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,NO,NO,15180,15180,68310,Y
248,101,250/500,1000,MALE,Masters,machine-op-inspct,other-relative,25900,0,Parked Car,Rear Collision,Minor Damage,None,7,1,NO,NO,1180,590,4130,N
249,94,250/500,2000,FEMALE,High School,armed-forces,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,NO,YES,6410,6410,51280,N
250,117,250/500,500,FEMALE,Associate,transport-moving,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,NO,5040,10080,40320,Y
251,111,250/500,500,MALE,MD,sales,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,NO,7350,14700,58800,Y
252,242,100/300,500,FEMALE,High School,transport-moving,husband,0,-44600,Vehicle Theft,Rear Collision,Trivial Damage,Police,5,1,YES,NO,680,680,6120,N
253,440,250/500,500,MALE,PhD,transport-moving,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,NO,NO,5960,5960,41720,Y
254,20,500/1000,1000,FEMALE,JD,tech-support,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,NO,NO,5750,11500,46000,Y
255,461,100/300,500,FEMALE,High School,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,NO,NO,9840,9840,39360,N
256,208,250/500,500,MALE,Associate,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,YES,10100,5050,35350,N
257,279,500/1000,2000,MALE,Associate,machine-op-inspct,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,NO,6410,12820,38460,Y
258,244,100/300,500,FEMALE,MD,sales,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,2,1,YES,YES,660,660,4620,N
259,134,250/500,2000,FEMALE,PhD,exec-managerial,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,YES,5310,5310,37170,Y
260,122,250/500,1000,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,Parked Car,Rear Collision,Trivial Damage,None,17,1,NO,NO,350,350,3150,N
261,156,100/300,2000,MALE,PhD,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,NO,NO,5900,5900,47200,Y
262,232,250/500,500,MALE,College,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,NO,7060,14120,49420,Y
263,244,500/1000,2000,MALE,Masters,armed-forces,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,NO,NO,5590,11180,44720,N
264,84,500/1000,2000,FEMALE,MD,protective-serv,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,YES,5240,10480,41920,N
265,394,250/500,500,FEMALE,High School,craft-repair,own-child,51500,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,9,1,NO,NO,1060,1060,4770,N
266,246,250/500,1000,MALE,JD,machine-op-inspct,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,NO,NO,11840,5920,35520,Y
267,35,500/1000,2000,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,NO,15660,7830,54810,N
268,156,100/300,500,MALE,Associate,protective-serv,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,NO,4610,4610,32270,N
269,195,100/300,2000,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,YES,YES,12540,6270,50160,N
270,369,250/500,2000,MALE,College,handlers-cleaners,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,NO,YES,17060,8530,59710,N
271,271,100/300,1000,FEMALE,Associate,other-service,wife,71200,0,Parked Car,Rear Collision,Minor Damage,None,6,1,NO,NO,560,280,2240,N
272,332,100/300,2000,MALE,MD,craft-repair,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,NO,11040,11040,49680,Y
273,107,100/300,500,FEMALE,JD,armed-forces,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,NO,NO,11940,11940,35820,N
274,217,500/1000,2000,FEMALE,Masters,other-service,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,NO,10820,10820,43280,N
275,243,500/1000,500,FEMALE,Associate,machine-op-inspct,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,NO,NO,4170,4170,29190,N
276,296,250/500,2000,MALE,Associate,tech-support,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,YES,NO,7120,7120,49840,N
277,264,100/300,500,MALE,PhD,prof-specialty,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,NO,10980,5490,43920,Y
278,108,100/300,2000,FEMALE,JD,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,NO,YES,5850,11700,46800,Y
279,32,100/300,500,FEMALE,College,other-service,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,YES,14180,7090,49630,N
280,259,250/500,1000,FEMALE,JD,craft-repair,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,NO,7760,7760,31040,N
281,186,100/300,1000,FEMALE,Associate,craft-repair,wife,37600,-37600,Vehicle Theft,Rear Collision,Trivial Damage,Police,3,1,NO,NO,860,860,3010,Y
282,201,250/500,2000,FEMALE,PhD,transport-moving,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,14,1,YES,YES,1240,1240,4340,N
283,436,250/500,2000,MALE,PhD,tech-support,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,NO,NO,11980,5990,41930,Y
284,189,250/500,2000,FEMALE,MD,priv-house-serv,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,NO,YES,13260,13260,53040,N
285,105,500/1000,500,FEMALE,High School,adm-clerical,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,NO,12780,6390,51120,N
286,163,100/300,1000,MALE,JD,priv-house-serv,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,NO,5810,11620,46480,N
287,219,100/300,500,FEMALE,Associate,transport-moving,not-in-family,68700,0,Vehicle Theft,Rear Collision,Trivial Damage,None,6,1,NO,NO,640,640,5120,N
288,88,250/500,1000,FEMALE,JD,handlers-cleaners,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,YES,YES,7420,7420,51940,Y
289,40,500/1000,1000,FEMALE,College,sales,own-child,0,-33300,Parked Car,Rear Collision,Minor Damage,Police,8,1,NO,NO,1460,1460,5840,N
290,284,100/300,500,MALE,Associate,machine-op-inspct,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,1,YES,NO,8560,17120,68480,N
291,59,250/500,2000,MALE,College,protective-serv,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,NO,NO,5730,11460,34380,N
292,39,250/500,2000,FEMALE,High School,handlers-cleaners,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,NO,NO,10540,10540,31620,Y
293,147,500/1000,1000,MALE,High School,sales,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,NO,15540,15540,69930,N
294,156,250/500,500,MALE,High School,exec-managerial,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,NO,YES,5340,5340,42720,Y
295,123,250/500,500,FEMALE,Associate,prof-specialty,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,NO,NO,12020,12020,48080,N
296,231,250/500,2000,MALE,College,protective-serv,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,YES,7710,15420,53970,N
297,247,100/300,500,FEMALE,College,handlers-cleaners,wife,0,0,Parked Car,Rear Collision,Trivial Damage,Police,3,1,NO,NO,600,0,2700,N
298,194,500/1000,500,FEMALE,MD,adm-clerical,not-in-family,0,0,Parked Car,Rear Collision,Minor Damage,None,7,1,YES,NO,1080,540,4320,N
299,119,250/500,2000,MALE,High School,transport-moving,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,NO,7080,21240,35400,N
300,259,100/300,500,FEMALE,Masters,farming-fishing,not-in-family,0,-39300,Vehicle Theft,Rear Collision,Trivial Damage,Police,15,1,NO,NO,1280,640,5760,N
301,107,100/300,2000,MALE,Associate,handlers-cleaners,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,YES,NO,14420,21630,57680,N
302,48,100/300,2000,MALE,College,sales,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,NO,17460,17460,52380,N
303,267,250/500,500,MALE,JD,transport-moving,wife,0,-35200,Parked Car,Rear Collision,Trivial Damage,Police,5,1,NO,NO,1260,630,3780,N
304,286,250/500,500,MALE,High School,priv-house-serv,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,YES,NO,13160,6580,46060,N
305,175,100/300,500,FEMALE,JD,handlers-cleaners,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,NO,YES,4080,4080,28560,Y
306,111,250/500,500,FEMALE,PhD,farming-fishing,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,NO,YES,4800,9600,38400,Y
307,151,250/500,500,FEMALE,Associate,protective-serv,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,YES,5910,5910,47280,Y
308,156,500/1000,1000,MALE,Associate,machine-op-inspct,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,YES,14080,7040,56320,N
309,165,250/500,2000,MALE,Masters,armed-forces,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,NO,NO,4570,4570,36560,N
310,253,100/300,2000,FEMALE,PhD,sales,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,YES,7340,14680,58720,Y
311,10,100/300,2000,MALE,MD,sales,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,NO,2850,5700,22800,Y
312,158,100/300,2000,FEMALE,Associate,handlers-cleaners,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,NO,NO,3500,7000,24500,N
313,436,500/1000,1000,MALE,PhD,protective-serv,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,NO,NO,13600,6800,47600,N
314,91,250/500,2000,FEMALE,Masters,machine-op-inspct,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,13,3,YES,NO,13000,13000,58500,N
315,256,500/1000,1000,FEMALE,MD,transport-moving,wife,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,NO,7550,15100,52850,N
316,274,500/1000,1000,MALE,High School,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,NO,NO,15100,15100,60400,N
317,275,500/1000,2000,FEMALE,Associate,adm-clerical,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,3,YES,NO,5360,10720,48240,N
318,1,250/500,500,FEMALE,High School,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,NO,NO,6340,3170,22190,N
319,85,500/1000,1000,MALE,Associate,protective-serv,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,YES,YES,12380,12380,49520,Y
320,233,100/300,2000,FEMALE,High School,sales,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,YES,13420,6710,60390,N
321,142,250/500,2000,MALE,JD,adm-clerical,husband,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,YES,6360,12720,44520,N
322,266,250/500,500,MALE,High School,handlers-cleaners,husband,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,4,1,NO,YES,3280,3280,26240,N
323,350,500/1000,500,FEMALE,Masters,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,3,NO,NO,9820,4910,29460,N
324,97,250/500,1000,MALE,College,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,NO,10080,5040,35280,Y
325,399,500/1000,2000,MALE,JD,tech-support,not-in-family,0,-65400,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,YES,17680,8840,61880,N
326,305,100/300,2000,FEMALE,High School,farming-fishing,own-child,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,YES,NO,12100,6050,48400,N
